,id,company_id,veh_make_other,vehicle_model,vehicle_year,vehicle_type,vehicle_fuel_type,vehicle_miles_per_gallon,has_vehicle_transponder,vehicle_classification,vehicle_weight,odometer,ending_odometer,Industry Group,"Employee Size (1=0-9, 2=10+)",Vehicle Type,Vehicle Type_Industry_Size Category Code,Lower Estimate Weight Factor,Most Likely Estimate Weight Factor,Upper Estimate Weight Factor,id.1,weight_class_cvm
40,77,120385,Ford,F650 FLATBED,2021,1,2,17.0,2.0,6,20500,24011,24158.3,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,77,
85,149,104108,International,4400,2009,3,2,8.0,2.0,8,23500,234441,234468.3,3,2,MUT,MUT_3_2,81.3816820418108,356.54616470586643,384.32064961155567,149,
105,173,173198,Freightliner,M2 DUMP TRUCK,2018,3,1,10.0,2.0,6,19800,49872,49931.1,9,2,SUT,SUT_9_2,174.5309847480106,688.0189136904761,738.3844642857142,173,
174,260,127629,Ford,F650 ROLLBACK,2018,3,1,25.0,2.0,8,7000,32209,32350.2,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,260,
305,393,126493,HINO,Stake Bed 16FT,2016,1,2,18.0,2.0,6,33000,166201,166287.0,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,393,
309,397,126493,Ford,F650 ROLLBACK,2020,1,2,15.0,1.0,7,33000,307661,307796.4,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,397,
320,414,111630,Peterbilt,337,2008,3,2,6.0,2.0,7,33000,227105,227181.3,2,1,SUT,SUT_2_1,65.1358829676071,144.07750455373406,174.23126897389193,414,
506,697,100307,HINO,195h,2016,1,2,16.0,2.0,8,33000,84933,84966.7,1,2,MUT,MUT_1_2,81.3816820418108,356.54616470586643,384.32064961155567,697,
552,745,126985,SANYOU,28M Mounted Concrete Pumps,2018,1,2,10.0,2.0,6,17380,73877,73960.3,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,745,
553,746,126985,SANYOU,29M Mounted concrete pump,2000,1,2,18.0,2.0,6,17380,279183,279283.2,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,746,
554,747,126985,SANYOU,32M Mounted Concrete Pump,2002,1,2,12.0,2.0,6,17380,212208,212290.5,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,747,
555,748,126985,SANYOU,28M Mounted Concrete Pump,2020,1,2,10.0,2.0,6,17380,44960,45013.0,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,748,
556,749,126985,SANYOU,51M Mounted concrete pump,2018,1,2,11.0,2.0,7,17380,79592,79645.2,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,749,
616,819,103903,Peterbilt,200,2021,3,2,11.0,2.0,8,33000,31560,31614.0,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,819,
617,820,103903,Peterbilt,200,2020,3,2,11.0,2.0,8,30000,52300,52385.9,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,820,
621,824,103903,Peterbilt,320,2020,3,2,10.0,2.0,8,30000,54400,54596.2,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,824,
623,826,103903,Peterbilt,330,2021,3,2,11.0,2.0,8,30000,35680,35867.0,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,826,
625,828,103903,Peterbilt,200,2021,3,2,11.0,2.0,8,30000,32640,32658.8,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,828,
626,829,103903,Peterbilt,310,2017,2,2,10.0,2.0,8,30000,145200,145338.0,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,829,
633,836,127984,Freightliner,M2 Tow,2017,3,2,18.0,2.0,6,22000,133779,133827.6,7,1,SUT,SUT_7_1,18.9083423932739,46.87018881626725,53.31917211328976,836,
700,905,126685,Kenworth,Super 10 Dump,2015,1,2,20.0,2.0,6,22500,187450,187470.2,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,905,
979,1196,127469,Freightliner,CST120,2010,1,2,7.0,1.0,8,33000,438921,438976.3,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,1196,
980,1197,127469,Freightliner,CST120,2009,1,2,7.0,1.0,8,33000,512387,512398.2,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,1197,
1033,1250,127469,Freightliner,Cascadia,2018,1,2,8.0,1.0,8,33000,94887,95149.2,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,1250,
1034,1251,127469,Freightliner,Cascadia,2019,1,2,9.0,2.0,8,33000,73231,73231.0,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,1251,
1035,1252,127469,Freightliner,Cascadia,2019,1,2,9.0,2.0,8,33000,75200,75363.0,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,1252,
1087,1310,127105,MACK,Anthem,2010,1,2,12.0,2.0,6,33000,269440,269488.8,7,1,SUT,SUT_7_1,18.9083423932739,46.87018881626725,53.31917211328976,1310,
1088,1311,127105,Isuzu,BOX VAN,2016,1,2,24.0,2.0,6,15800,123062,123193.9,7,1,SUT,SUT_7_1,18.9083423932739,46.87018881626725,53.31917211328976,1311,
1167,1401,114521,GMC,SAVANA 1500 2WD (CARGO),2015,1,1,9.0,2.0,6,10000,123012,123018.9,4,1,SUT,SUT_4_1,159.66826106531735,364.2023544001261,414.1715278584922,1401,
1224,1461,600041,Freightliner,Arcadia,2013,2,2,8.0,2.0,8,33000,305800,305862.8,8,1,MUT,MUT_8_1,81.3816820418108,356.54616470586643,384.32064961155567,1461,
1225,1462,600041,Freightliner,Arcadia,2013,2,2,9.0,2.0,8,33000,290352,290408.3,8,1,MUT,MUT_8_1,81.3816820418108,356.54616470586643,384.32064961155567,1462,
1319,1568,600051,HINO,195dc,2020,1,2,4.0,2.0,8,19511,61371,61418.4,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1568,
1320,1569,600051,HINO,195,2020,1,2,4.0,2.0,8,19511,63456,63494.2,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1569,
1321,1570,600051,Freightliner,m2,2020,1,2,4.0,2.0,8,25500,396923,396923.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1570,
1384,1641,127475,Prostar,International,2007,1,2,12.0,2.0,8,30000,569800,569838.2,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,1641,
1385,1642,127475,VOLVO,VNL,2011,1,2,13.0,2.0,8,30000,411500,411537.8,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,1642,
1387,1644,127475,International,PROSTAR,2010,1,2,12.0,2.0,8,33000,318400,318432.6,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,1644,
1540,1860,600051,Freightliner,M2,2018,1,2,3.0,2.0,8,25000,317325,317370.7,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1860,
1598,1931,127469,Freightliner,CST112,2011,1,2,9.0,2.0,8,5800,364500,364500.0,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,1931,
1609,1942,171972,International,DURASTAR,2015,3,2,8.0,2.0,6,26000,350067,350173.0,9,2,SUT,SUT_9_2,174.5309847480106,688.0189136904761,738.3844642857142,1942,
1626,1962,600051,HINO,195,2018,3,2,3.0,2.0,8,25900,88531,88531.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1962,
1627,1963,600051,Freightliner,M2,2020,3,2,3.0,2.0,8,25500,216675,216675.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1963,
1628,1965,600051,HINO,195,2018,1,2,4.0,2.0,8,25900,94897,94897.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1965,
1629,1966,600051,International,MV607,2018,3,2,3.0,2.0,8,22314,25000,25000.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1966,
1630,1967,600051,Freightliner,m2,2020,3,2,3.0,2.0,8,25500,609052,609052.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1967,
1631,1968,600051,HINO,195,2021,3,2,4.0,2.0,8,25000,78737,78737.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1968,
1632,1969,600051,HINO,195,2021,3,2,4.0,2.0,8,25900,183626,183626.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1969,
1633,1970,600051,Isuzu,NPR,2018,3,2,3.0,2.0,8,25000,199175,199175.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1970,
1634,1971,600051,HINO,195,2018,3,2,3.0,2.0,8,25225,94782,94782.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1971,
1635,1972,600051,HINO,195,2018,1,2,3.0,2.0,8,25500,332712,332712.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1972,
1636,1973,600051,HINO,195,2018,1,2,3.0,2.0,8,25900,332144,332144.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1973,
1637,1974,600051,Freightliner,M2,2020,1,2,3.0,2.0,8,25500,227592,227592.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1974,
1638,1975,600051,HINO,195,2020,1,2,3.0,2.0,8,25800,225164,225164.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1975,
1639,1977,600051,Freightliner,M2,2021,1,2,4.0,2.0,8,25000,114263,114263.0,4,2,MUT,MUT_4_2,38.23644327841704,98.59406900114915,109.75521952097414,1977,
1652,1992,121784,Freightliner,5500,2018,2,1,10.0,2.0,8,9510,163618,163682.8,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,1992,
1653,1993,121784,Freightliner,5500,2012,2,1,10.0,2.0,8,15000,192969,193028.7,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,1993,
1654,1994,121784,International,Durastar,2015,1,1,10.0,2.0,8,12000,142012,142037.1,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,1994,
1726,2088,127391,Freightliner,Cascadia,2009,1,2,6.0,2.0,8,23600,255545,255899.0,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,2088,
1728,2091,114094,Freightliner,cascadia 126,2015,1,2,10.0,2.0,8,26222,123445,123544.9,7,2,MUT,MUT_7_2,23.09985006564483,43.14360438870243,49.57952069716776,2091,
1736,2104,114929,Freightliner,M2,2016,1,2,8.0,2.0,8,25625,111245,111245.0,9,1,MUT,MUT_9_1,81.3816820418108,356.54616470586643,384.32064961155567,2104,
1737,2105,114929,Freightliner,M2,2014,1,2,6.0,2.0,8,25500,189240,189240.0,9,1,MUT,MUT_9_1,81.3816820418108,356.54616470586643,384.32064961155567,2105,
1738,2106,114929,Freightliner,M2106,2019,1,2,10.0,2.0,8,25500,98520,98520.0,9,1,MUT,MUT_9_1,81.3816820418108,356.54616470586643,384.32064961155567,2106,
1739,2107,114929,Freightliner,M2106,2018,1,2,8.0,2.0,8,25500,90201,90201.0,9,1,MUT,MUT_9_1,81.3816820418108,356.54616470586643,384.32064961155567,2107,
1740,2109,114929,Freightliner,M2106,2019,1,2,10.0,2.0,8,25500,102245,102245.0,9,1,MUT,MUT_9_1,81.3816820418108,356.54616470586643,384.32064961155567,2109,
1743,2113,124549,Peterbilt,335,2009,1,2,6.0,2.0,8,33000,120450,120450.0,6,2,MUT,MUT_6_2,178.8475,247.69636732623033,254.33508878741756,2113,
